scheme_name,scheme_url
District Central Cooperative Banks and through its Branches: For Maternity Loan through Self Help Groups,https://www.myscheme.gov.in/schemes/dccbfml
Divyangjan Scholarship Scheme,https://www.myscheme.gov.in/schemes/dssmp
Doodh Sanjeevani Yojana,https://www.myscheme.gov.in/schemes/dsy-g
Doodh Sanjivani Scheme,https://www.myscheme.gov.in/schemes/dssg
Dr. Ambedkar Medical Aid Scheme (Revised – 2009),https://www.myscheme.gov.in/schemes/amas-haryana
Dulari Scheme,https://www.myscheme.gov.in/schemes/ds-aandn
Durghatana Mein Chikitsa Sahaayata Yojana,https://www.myscheme.gov.in/schemes/dmcsy
Employee Health Scheme,https://www.myscheme.gov.in/schemes/ehsap
Family Planning Indemnity Scheme,https://www.myscheme.gov.in/schemes/fpis
Financial Assistance for ANM/GNM/Technical Courses,https://www.myscheme.gov.in/schemes/faanmgnmtc
Financial Assistance for Medical (JKBOCWWB),https://www.myscheme.gov.in/schemes/fafmjkbocwwb
Financial Assistance for Medical Treatment of Journalists,https://www.myscheme.gov.in/schemes/famtj
Financial Assistance for Miscarriage for the Construction Workers,https://www.myscheme.gov.in/schemes/famcw
Financial Assistance For Procuring Mobility Equipment To Disabled Ex-Servicemen (All Ranks),https://www.myscheme.gov.in/schemes/affdf
"Financial Assistance for the Treatment of Blind, Disabled, Deaf, Dumb, or Mentally Challenged Ex-Servicemen and their Dependents (Wife and Children)",https://www.myscheme.gov.in/schemes/faafbdmmresf
Financial Assistance for Treatment of Chronic Diseases (HBOCWWB),https://www.myscheme.gov.in/schemes/fatcdhbocwwb
Financial Assistance Scheme for Dependents of Deceased Journalists and Litterateurs - Rajasthan,https://www.myscheme.gov.in/schemes/fasfjd
Financial Assistance Scheme for Journalists and Litterateurs - Rajasthan,https://www.myscheme.gov.in/schemes/fasfj
Financial Assistance to Old Age Pensioner Suffering From TB/ Cancer,https://www.myscheme.gov.in/schemes/faoapstbc
Financial Assistance to Poor Scheduled Caste People Suffering From Prolonged Diseases,https://www.myscheme.gov.in/schemes/fapscpspi
Financial Grants In Aid To SC/ST Patients Suffering From Cancer And Other Malignant Diseases,https://www.myscheme.gov.in/schemes/grants-in-aid-to-scst-patients
Financial Incentives To Mothers Who Deliver A Girl Child (Mamta),https://www.myscheme.gov.in/schemes/fimdgc
Free Blood to Patients - Uttarakhand,https://www.myscheme.gov.in/schemes/fbpuk
Free Distribution of Rice to Differently Abled Persons,https://www.myscheme.gov.in/schemes/fdrdap
Free Medical Assistance (Gujarat),https://www.myscheme.gov.in/schemes/fmaguj
Free Medical Card for Media Persons,https://www.myscheme.gov.in/schemes/fmcmp
Full Medical Checkup Assistance Scheme- Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/sfmcas-glwb
Fund of Funds for Startups,https://www.myscheme.gov.in/schemes/ffs
Funeral Assistance Scheme (Madhya Pradesh),https://www.myscheme.gov.in/schemes/fasmp
Funeral Support Scheme (HPBOCWWB),https://www.myscheme.gov.in/schemes/fsphpbocwwb
Gambhir Bimari Sahayata Yojana,https://www.myscheme.gov.in/schemes/gbsy
General Surgery Scheme (P.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/gsspbocwwb
Girl Students Health & Hygiene Scheme,https://www.myscheme.gov.in/schemes/gshhs
"Goa (Technical/ Vocational Training To Sex Workers And Sexually Abused Women) Scheme, 2013 (PRABHAT)",https://www.myscheme.gov.in/schemes/gtvtswsawwws
Goa Mediclaim Scheme,https://www.myscheme.gov.in/schemes/gms
Grant of Financial Assistance to Poor Scheduled Caste Pregnant & Lactating Women,https://www.myscheme.gov.in/schemes/gfapscplw
Grant-in-aid (TB),https://www.myscheme.gov.in/schemes/giatb
Grants In Aid To SC/ST Patients Suffering From Cancer And Other Malignant Diseases,https://www.myscheme.gov.in/schemes/gascstpsfcad
Grants To Patients Suffering From Tuberculosis/Cancer And Other Major Diseases,https://www.myscheme.gov.in/schemes/gpstbcomd
Health Benefits for Pregnant Mothers and Newborns through Supraja-AYUSH,https://www.myscheme.gov.in/schemes/shbpmna
Health Check-up (A.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/hc-uabocwwb
Healthy Lifestyle for School Children through Ayurvidya-AYUSH,https://www.myscheme.gov.in/schemes/ahlfscty
Hemoglobinopathy - Uttarakhand,https://www.myscheme.gov.in/schemes/huk
Hita-dhikaari Ke Samanye Athava Durghatana Me Mrityu Ya Ghayal Hone Ki Dasha Me Sahayata Yojana,https://www.myscheme.gov.in/schemes/hksadmmyghkdms
Home for Mentally Challenged Children,https://www.myscheme.gov.in/schemes/hmcc
Home for Visually Challenged Person,https://www.myscheme.gov.in/schemes/hvcp
Hospitalisation Relief Scheme,https://www.myscheme.gov.in/schemes/hrs
Immunization Programme - Uttarakhand,https://www.myscheme.gov.in/schemes/ipuk
Incentive Scheme for Establishment of New Super Specialty Hospital in Private Sector,https://www.myscheme.gov.in/schemes/isensshps
Indian Community Welfare Fund,https://www.myscheme.gov.in/schemes/icwf
Indira Gandhi National Disability Pension Scheme (Jammu and Kashmir),https://www.myscheme.gov.in/schemes/igndpsjak
Integrated Child Development Services Scheme,https://www.myscheme.gov.in/schemes/icdss
Integrated Child Development Services: Chandigarh,https://www.myscheme.gov.in/schemes/icds-chandigarh
Integrated Toll Free 104 Helpline,https://www.myscheme.gov.in/schemes/itfh
Janani Bal Suraksha Yojana,https://www.myscheme.gov.in/schemes/jbsyb
Janani Sahayogi Yojana,https://www.myscheme.gov.in/schemes/jsymp
Janani Shishu Suraksha Karyakram,https://www.myscheme.gov.in/schemes/jssk
Janani Shishu Suraksha Karyakram Madhya Pradesh,https://www.myscheme.gov.in/schemes/jsskmp
Janani Suraksha Yojana (JSY),https://www.myscheme.gov.in/schemes/jsy1
Journalist's Medical Welfare Scheme - Assam,https://www.myscheme.gov.in/schemes/jmws-assam
Kalakar Kritadnyata Nidhi: Medical Treatment,https://www.myscheme.gov.in/schemes/kkn-mt
KCR Nutrition Kit,https://www.myscheme.gov.in/schemes/kcr-nutrition-kit
Khushi Scheme,https://www.myscheme.gov.in/schemes/ks
Khushiyon Ki Sawari Sewa - Uttarakhand,https://www.myscheme.gov.in/schemes/kkssuk
Kishor Swasthya Paramarsh Clinic - Uttarakhand,https://www.myscheme.gov.in/schemes/kspc
Kishori Balika Yojana (Madhya Pradesh),https://www.myscheme.gov.in/schemes/sfagmp
Kishori Balika Yojana- Uttarakhand,https://www.myscheme.gov.in/schemes/kbyuk
Kumar Rajratna Bhimrao Ambedkar Medical Assistance Scheme,https://www.myscheme.gov.in/schemes/krbamas
Madhya Pradesh Kalakar Evam Sahityakar Kalyan Kosh Niyam- Serious Illness / Accident / Calamity Assistance,https://www.myscheme.gov.in/schemes/mpkskkn-diancal
Mahatma Jyotirao Phule Jan Arogya Yojana,https://www.myscheme.gov.in/schemes/mjpjay
Mamta Taruni Abhiyan,https://www.myscheme.gov.in/schemes/mta
Maternity Assistance for the Construction Workers,https://www.myscheme.gov.in/schemes/mafcw
Maternity Assistance Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/mat-pbaocwwb
Maternity Benefit,https://www.myscheme.gov.in/schemes/mbwb
Maternity Benefit (O.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/mbobocwwb
Maternity Benefit For Female Workers- JKBOCWWB,https://www.myscheme.gov.in/schemes/mbffwjkbocwwb
Maternity Benefit for Women Beneficiaries,https://www.myscheme.gov.in/schemes/mbfwb
Maternity Benefit Scheme (APB&OCWWB),https://www.myscheme.gov.in/schemes/mbsapbandocwwb
Maternity Benefit Scheme (P.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/mbspbocwwb
Maternity Benefit/Delivery Assistance (K.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/mbdakbocwwb
Maternity Benefits Scheme (BBOCWWB),https://www.myscheme.gov.in/schemes/mbsbbocwwb
Matrutva Prasuvidha Yojana,https://www.myscheme.gov.in/schemes/mpy
Medical Aid Scheme (Ayushman Bharat Scheme 'Niramaya') (MPBOCWWB),https://www.myscheme.gov.in/schemes/masabsn
Medical Assistance (A.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/ma-abocwwb
Medical Assistance (ANBOCWWB),https://www.myscheme.gov.in/schemes/maanbocwwb
Medical Assistance (APB&OCWWB),https://www.myscheme.gov.in/schemes/maapbandocwwb
Medical Assistance (GBOCWWB),https://www.myscheme.gov.in/schemes/ma-gbocwwb
Medical Assistance (Karmika Arogya Bhagya) (K.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/makabbocwwb
Medical Assistance (MBOCWWB),https://www.myscheme.gov.in/schemes/mambocwwb
Medical Assistance (NBOCWWB),https://www.myscheme.gov.in/schemes/manbocwwb
Medical Assistance and Wage Loss for the Construction Workers,https://www.myscheme.gov.in/schemes/mawlftcw
