scheme_name,scheme_url
"""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",https://www.myscheme.gov.in/schemes/wrflsncs-fbps
"""Immediate Death Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",https://www.myscheme.gov.in/schemes/wrflsncs-idra
"""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",https://www.myscheme.gov.in/schemes/ira-wrflsncs
"""Monthly Grant To Old Crafts Persons (Pension)"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/mgtocpp
"""Outstanding SC/ST Entrepreneur"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/oscste-mesifai-sa-msme
100% State Government Divyangjan Term Loan Yojana,https://www.myscheme.gov.in/schemes/sgdtly
6 Varsh Se Adhik Aayu Ke Bahuviklang Aur Mansik Roop Se Aviksit Nisaktjan Ke Liye Sahayata Anudan Yojana,https://www.myscheme.gov.in/schemes/cvsaakbamrsanklsay
60% and above Disability Allowances,https://www.myscheme.gov.in/schemes/da-60ada
Aahar Anudan Yojana,https://www.myscheme.gov.in/schemes/aaymp
Aam Aadmi Bima Yojana,https://www.myscheme.gov.in/schemes/aaby
Aam Aadmi Bima Yojana (Maharashtra),https://www.myscheme.gov.in/schemes/aabym
Aapki Beti Hamari Beti,https://www.myscheme.gov.in/schemes/abhb
AASRA Scheme,https://www.myscheme.gov.in/schemes/aasra
Aastha Yojana,https://www.myscheme.gov.in/schemes/asr
Aawaas Sahayata,https://www.myscheme.gov.in/schemes/as
Abhayakiranam Scheme-Financial Assistance To Destitute Widows,https://www.myscheme.gov.in/schemes/as-fadw
Accident Medical Assistance Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/amas-pbaocwwb
Accident Relief Scheme,https://www.myscheme.gov.in/schemes/ars
Accidental Benefit,https://www.myscheme.gov.in/schemes/adwb
Accidental Death Assistance for the Construction Workers,https://www.myscheme.gov.in/schemes/adacw
Accidental Death Assistance Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/adasgbocwwb
Accidental Death Assistance Scheme- Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/adas-glwb
Accidental Death Benefit Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/adbs-pbaocwwb
Additional Pension to 100% Disabled Ex-Serviceman having Children,https://www.myscheme.gov.in/schemes/apdesmc
Additional Pension to 100% Disabled Ex-Serviceman having No Child,https://www.myscheme.gov.in/schemes/apdemnc
Additional Pension to Widow of Ex-Serviceman having Children,https://www.myscheme.gov.in/schemes/apwesmc
Additional Pension to Widow of Ex-Serviceman having No Child,https://www.myscheme.gov.in/schemes/apwesmnc
Advance For Purchase Or Construction Of House (APB&OCWWB),https://www.myscheme.gov.in/schemes/apchapbandocwwb
Advance for Purchase or Construction of House (GBOCWWB),https://www.myscheme.gov.in/schemes/apch-gbocwwb
AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma),https://www.myscheme.gov.in/schemes/sak-dip
AICTE-LILAVATI AWARD,https://www.myscheme.gov.in/schemes/ala
All Goa Classical Dance Competition,https://www.myscheme.gov.in/schemes/agcdc
Allowance for 100% Blind,https://www.myscheme.gov.in/schemes/tpsftbp
Allowance To Dwarf,https://www.myscheme.gov.in/schemes/atd
Allowance To Eunuchs Scheme,https://www.myscheme.gov.in/schemes/aes
Alpsankhyak Muslim Parityaqta/Talaqshuda Mahila Sahayata Yojana,https://www.myscheme.gov.in/schemes/amptmsy
Alpshankhyak Vikas Nidhi,https://www.myscheme.gov.in/schemes/avn
Ambedkar DBT Voucher Scheme,https://www.myscheme.gov.in/schemes/adbtvs
Amma Two Wheeler Scheme for Working Women,https://www.myscheme.gov.in/schemes/atwsfww
Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I,https://www.myscheme.gov.in/schemes/atnmasfogi
Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-II,https://www.myscheme.gov.in/schemes/atnmasfogii
Annath Pension Yojana (JBOCWWB),https://www.myscheme.gov.in/schemes/apy-jbocwwb
Antarjatiye Vivah Protsahan Anudan Yojana,https://www.myscheme.gov.in/schemes/avpay
Antayoshti Sahayata Yojana,https://www.myscheme.gov.in/schemes/asy
Antheyesthi Anudan Yojana,https://www.myscheme.gov.in/schemes/aayr
Antim Sans‍kar Yojana ​,https://www.myscheme.gov.in/schemes/asymp
Antya Sanskar Sahay Yojana,https://www.myscheme.gov.in/schemes/assy-goa
Antyeshthi Sahay Yojana,https://www.myscheme.gov.in/schemes/asygsw
Anya Pichhda Varg Kalyan Chhatravaas,https://www.myscheme.gov.in/schemes/apvkc
ARAVANAIPPU,https://www.myscheme.gov.in/schemes/a-pudu
Aravanaippu Illam,https://www.myscheme.gov.in/schemes/aillam
Artificial Limbs and Assistive Devices Supply Scheme,https://www.myscheme.gov.in/schemes/aladss
Artificial Limbs/Assistive Equipments Scheme,https://www.myscheme.gov.in/schemes/alaes
Arunachal Pradesh State Stipend Scheme,https://www.myscheme.gov.in/schemes/sasstsap
Arundhati Gold Scheme,https://www.myscheme.gov.in/schemes/ags
Asangathit Karmakaar Mrtyu Evan Divyaang Sahaayata Yojana,https://www.myscheme.gov.in/schemes/akmeds
Ashirwad,https://www.myscheme.gov.in/schemes/asd
Ashramshalas (Grant in Aid),https://www.myscheme.gov.in/schemes/agia
Ashraya Adhar Scheme,https://www.myscheme.gov.in/schemes/aas
Assam Arogya Nidhi Scheme,https://www.myscheme.gov.in/schemes/aan
Assistance for Damage to Agricultural Land and Other Losses,https://www.myscheme.gov.in/schemes/aaoduk
Assistance for Daughter's Marriage,https://www.myscheme.gov.in/schemes/afdm
Assistance for Funeral Expenses (O.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/affeobocwwb
