scheme_name,scheme_url
"""SUPER 30"" Scheme",https://www.myscheme.gov.in/schemes/s30s
6% Interest Subsidy on Loans taken through Banks for Study Abroad,https://www.myscheme.gov.in/schemes/6islbsa
A Scheme to Provide Free Tablets to Std.12th Pass Students,https://www.myscheme.gov.in/schemes/aspfts12ps
Aam Aadmi Bima Yojana (Maharashtra),https://www.myscheme.gov.in/schemes/aabym
Aapki Beti Yojana,https://www.myscheme.gov.in/schemes/aby
Aaws Bhatta Sahayata Yojana,https://www.myscheme.gov.in/schemes/absy
Abhinandan Education Loan Subsidy Scheme,https://www.myscheme.gov.in/schemes/aelss
Academic Education (JKBOCWWB),https://www.myscheme.gov.in/schemes/aejkbocwwb
Academic Scholarship Scheme (Labor Welfare Board Madhya Pradesh),https://www.myscheme.gov.in/schemes/asslwbmp
Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,https://www.myscheme.gov.in/schemes/a2ks
Additional Financial Assistance for the Children of Persons Engaged in the Cleaning Profession,https://www.myscheme.gov.in/schemes/pmsscpecp
Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides,https://www.myscheme.gov.in/schemes/adthsg
Adi Dravidar and Tribal Welfare Department-Incentive/Award of Prizes,https://www.myscheme.gov.in/schemes/adtwdiap
Adi Dravidar and Tribal Welfare Department: Incentive/Award of Prizes-For Each Subjects,https://www.myscheme.gov.in/schemes/adtwip
Adi Dravidar and Tribal Welfare Department: Scholarship-Free Education upto 12th Std. to All,https://www.myscheme.gov.in/schemes/adtwsfe
Adi Dravidar and Tribal Welfare Department: Stationary-Text Books,https://www.myscheme.gov.in/schemes/adtwstb
Admission in Post Matric Hostel,https://www.myscheme.gov.in/schemes/aipmh
Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools,https://www.myscheme.gov.in/schemes/aadtsrs
Admission Process in All Government and Non-Government Schools of the State,https://www.myscheme.gov.in/schemes/apiaguk
Advocate Graduate Stipend Gujarat,https://www.myscheme.gov.in/schemes/agsg
Advocate Grant,https://www.myscheme.gov.in/schemes/ag
Agriculture Academic Studies Scheme,https://www.myscheme.gov.in/schemes/aass
AICTE - Distinguished Chair Professor Fellowship,https://www.myscheme.gov.in/schemes/dcpf
AICTE - Grant For Augmenting Infrastructure In North Eastern Region,https://www.myscheme.gov.in/schemes/a-gainer
"AICTE - Scheme For Promoting Interests, Creativity And Ethics Among Students",https://www.myscheme.gov.in/schemes/aicte-spices
AICTE e-Shodh Sindhu Scheme (eSS),https://www.myscheme.gov.in/schemes/essstj
AICTE – Mitacs Globalink Research Internship (GRI) Scheme,https://www.myscheme.gov.in/schemes/am-gris
AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Degree),https://www.myscheme.gov.in/schemes/sak-deg
AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma),https://www.myscheme.gov.in/schemes/sak-dip
AICTE- Technical University Joint Training Programs for Librarians,https://www.myscheme.gov.in/schemes/atujtfl
AICTE- TECHNICAL UNIVERSITY JOINT TRAINING PROGRAMS FOR TEACHERS,https://www.myscheme.gov.in/schemes/tujtpft
"AICTE-IDEA (Idea Development, Evaluation & Application) LAB SCHEME",https://www.myscheme.gov.in/schemes/aiideals
AICTE-INAE Distinguished Visiting Professorship Scheme,https://www.myscheme.gov.in/schemes/dvps
AICTE-INAE Travel Grant Scheme For Engineering Students From AICTE Approved Engineering College/Institution,https://www.myscheme.gov.in/schemes/ai-tgses
AICTE-Margdarshan scheme,https://www.myscheme.gov.in/schemes/ams
AICTE-National Initiative for Training of Technical Teachers (for Inductee Teachers) Scheme,https://www.myscheme.gov.in/schemes/nift
AICTE-PROFESSIONAL DEVELOPMENT SCHEME,https://www.myscheme.gov.in/schemes/pds
AICTE-QUALITY IMPROVEMENT (FOREIGN UNIVERSITY) PROGRAMME,https://www.myscheme.gov.in/schemes/qipfu
"AICTE-SHORT TERM TRAINING PROGRAMME (STTP) (UT-J&K,LADAKH AND NER)",https://www.myscheme.gov.in/schemes/asttpsu
AICTE-Swanath Scholarship Scheme For Students,https://www.myscheme.gov.in/schemes/aicte-ssss
AICTE-Technical Book Writing & Translation Scheme,https://www.myscheme.gov.in/schemes/atbwt
AICTE-Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports,https://www.myscheme.gov.in/schemes/atppe
Akanksha Scheme,https://www.myscheme.gov.in/schemes/aks
Akhil Bhartiya Sanskrit Kavi Sammelan,https://www.myscheme.gov.in/schemes/asksy
Akhil Bhartiya Sanskrit Shodh Sammelan,https://www.myscheme.gov.in/schemes/absss
Akhil Bhartiya Veda Sammelan and Akhil Bhartiya Jyotish Vastu Sammelan,https://www.myscheme.gov.in/schemes/abvsabjvs
AlCTE - Distinguished Professional Scheme,https://www.myscheme.gov.in/schemes/adps
Alpsankhyak Merit-Cum-Means Chatravriti Yojana,https://www.myscheme.gov.in/schemes/amcmcy
Ambedkar DBT Voucher Scheme,https://www.myscheme.gov.in/schemes/adbtvs
Ambedkar Fellowship Scheme,https://www.myscheme.gov.in/schemes/afs-sc
Ambedkar International Scholarship - SC,https://www.myscheme.gov.in/schemes/ais-sc
Amit Gautam Memorial Scholarship (B.Tech in Electronics Engineering – 4th Year),https://www.myscheme.gov.in/schemes/agmsbtechuk
