scheme_name,scheme_url
"""Agricultural Income Tax Holiday"" under the ""Assam Tea Industries Special Incentives Scheme""",https://www.myscheme.gov.in/schemes/aith-atisis
"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",https://www.myscheme.gov.in/schemes/aipbo-faascdmf
"""Interest Subvention on Working Capital"" under the ""Assam Tea Industries Special Incentives Scheme""",https://www.myscheme.gov.in/schemes/iswc-atisis
"""Orthodox or Specialty Tea Production Subsidy"" under the ""Assam Tea Industries Special Incentives Scheme""",https://www.myscheme.gov.in/schemes/ostps-atisis
"""Subsidy for Orthodox & Speciality Tea Unit for Plant & Machinery"" under the ""Assam Tea Industries Special Incentives Scheme""",https://www.myscheme.gov.in/schemes/sostupm-atisis
6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,https://www.myscheme.gov.in/schemes/6isltvpb
6% Interest Subsidy on Loans taken through Banks for Study Abroad,https://www.myscheme.gov.in/schemes/6islbsa
Aam Aadmi Bima Yojana (Maharashtra),https://www.myscheme.gov.in/schemes/aabym
AASRA Scheme,https://www.myscheme.gov.in/schemes/aasra
Amended Technology Upgradation Fund,https://www.myscheme.gov.in/schemes/atuf
Anganwadi Workers Welfare Fund,https://www.myscheme.gov.in/schemes/awwfu
Annath Pension Yojana (JBOCWWB),https://www.myscheme.gov.in/schemes/apy-jbocwwb
Aponar Apon Ghar,https://www.myscheme.gov.in/schemes/aag
Arivu Education Loan Scheme,https://www.myscheme.gov.in/schemes/aels
Ashraya Adhar Scheme,https://www.myscheme.gov.in/schemes/aas
Assam Abhinandan Education Loan Subsidy Scheme,https://www.myscheme.gov.in/schemes/aaelss
Assam Tea Plantations Provident Fund Scheme,https://www.myscheme.gov.in/schemes/atppfs
Assistance for Purchase of House (HBOCWWB),https://www.myscheme.gov.in/schemes/aphhbocwwb
Atal Beemit Vyakti Kalyan Yojana,https://www.myscheme.gov.in/schemes/abvky
Atal Pension Yojana,https://www.myscheme.gov.in/schemes/apy
Atma Nirbhar Matsya Palan Yojana,https://www.myscheme.gov.in/schemes/anmpy
Atma Nirbhar Pashu Palan Yojana,https://www.myscheme.gov.in/schemes/anppy
Atma Nirbhar Plantation Yojana,https://www.myscheme.gov.in/schemes/anpyap
Back Ended Interest Subsidy (BEIS),https://www.myscheme.gov.in/schemes/beis
Bank Tie-Up Scheme,https://www.myscheme.gov.in/schemes/btus
Bankable Scheme,https://www.myscheme.gov.in/schemes/bsg
Bihar State Journalist Insurance Scheme,https://www.myscheme.gov.in/schemes/bsjis
Bima Yojana - Direct Benefit to Artisan,https://www.myscheme.gov.in/schemes/bydbta
Car Loan Scheme,https://www.myscheme.gov.in/schemes/cls-pucu
Central Assistance For One Time Settlement Of Displaced Families From PoK And Chhamb Under Prime Minister's Development Package,https://www.myscheme.gov.in/schemes/otsdfpc
Chief Minister's Krishi Rinn Yojana,https://www.myscheme.gov.in/schemes/cmkry
Chief Minister's Micro Finance Initiative,https://www.myscheme.gov.in/schemes/cmmfi
Chief Minister's Self Employment Scheme,https://www.myscheme.gov.in/schemes/cmses
Chief Minister's State Disability Pension Scheme - Sikkim,https://www.myscheme.gov.in/schemes/cmdps-sikkim
Chief Minister’s Health Insurance Scheme - Nagaland,https://www.myscheme.gov.in/schemes/cmhisn
Chief Minister’s Startup/innovation Projects/new Industries,https://www.myscheme.gov.in/schemes/chsipni
Coconut Palm Insurance Scheme,https://www.myscheme.gov.in/schemes/cpis
Compensation in Animal Death,https://www.myscheme.gov.in/schemes/ciad
Comprehensive Educational Loan Scheme - Sikkim,https://www.myscheme.gov.in/schemes/cels-s
Contributory Social Security Scheme,https://www.myscheme.gov.in/schemes/csss
Credit Based Schemes For SC - Term Loan (TL),https://www.myscheme.gov.in/schemes/cbssc-tl
Credit Card Scheme For Artisans And Weavers Of Handicrafts And Handloom Sector,https://www.myscheme.gov.in/schemes/cccsaw
Credit Enhancement Guarantee Scheme For The Scheduled Castes,https://www.myscheme.gov.in/schemes/cegssc
Dairy Farming Scheme (HSFDC),https://www.myscheme.gov.in/schemes/dfshsfdc
Dalit Bandhu,https://www.myscheme.gov.in/schemes/dalit-bandhu
Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),https://www.myscheme.gov.in/schemes/dayalu
Direct Finance Scheme by NSFDC (GSCDC),https://www.myscheme.gov.in/schemes/dfsbnsfdc
Direct Lending Scheme,https://www.myscheme.gov.in/schemes/dls-punjab
"District Central Cooperative Banks and through its Branches: For Consumer Durables T.V., Fridge and Two Wheelers Loan",https://www.myscheme.gov.in/schemes/dccbfcd
"District Central Cooperative Banks and through its Branches: For Housing, House Construction, Repair Extension Loan",https://www.myscheme.gov.in/schemes/dccbfhl
District Central Cooperative Banks and through its Branches: For Jewel Loan,https://www.myscheme.gov.in/schemes/dccbfjl
District Central Cooperative Banks and through its Branches: For Maternity Loan through Self Help Groups,https://www.myscheme.gov.in/schemes/dccbfml
"District Central Cooperative Banks and through its Branches: For Professional Loan to Doctors, Engineers and Self Employed Professional",https://www.myscheme.gov.in/schemes/dccbfpl
"District Central Cooperative Banks and through its Branches: For Revamped Micro Credit Loan for Women Vendors of Flower, Vegetable, Fruit etc.",https://www.myscheme.gov.in/schemes/dccvfrmc
District Central Cooperative Banks and through its Branches: For SSI Unit Loan and Other NFS Activities,https://www.myscheme.gov.in/schemes/dccbssi
District Central Cooperative Banks and through its Branches: For Women Entrepreneurs,https://www.myscheme.gov.in/schemes/dccbfwe
District Central Cooperative Banks and through its Branches: For Working Women,https://www.myscheme.gov.in/schemes/dccbfww
District Central Cooperative Banks and through its Branches: Small Road Transport Operators Loan (SRTO Loan),https://www.myscheme.gov.in/schemes/dccbsrto
