scheme_name,scheme_url
"""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme",https://www.myscheme.gov.in/schemes/ahst
"""Advance/High Skill Training in Coir"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/ahstc-dc
"""Advanced Training in Handicrafts"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/atihcdohs
"""Design Development Training For Master Crafts Persons"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/ddtmcp
"""Entrepreneureship Development Programme (EDP)"" Component of the ""Development of Industries"" Scheme",https://www.myscheme.gov.in/schemes/edpedp
"""In-Plant Training"" Component of the ""Development of Industries"" Scheme",https://www.myscheme.gov.in/schemes/ipt
"""Management Training"" Component of the ""Development of Industries"" Scheme",https://www.myscheme.gov.in/schemes/mt-pudu
"""Training in Handicrafts"" Component of the ""Development Of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/tihcdohs
"""Training in Silk"" Component of the ""Development of Silk"" Scheme",https://www.myscheme.gov.in/schemes/ts-ds
"""Vocational Training"" Component of the ""Development of Industries"" Scheme",https://www.myscheme.gov.in/schemes/vt-pudu
15 Days Skill Up-gradation Training,https://www.myscheme.gov.in/schemes/15dsugt
6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,https://www.myscheme.gov.in/schemes/6isltvpb
6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,https://www.myscheme.gov.in/schemes/6islbse
Abhinandan Education Loan Subsidy Scheme,https://www.myscheme.gov.in/schemes/aelss
Adventure Training for Youth,https://www.myscheme.gov.in/schemes/atfy
Advocate Grant,https://www.myscheme.gov.in/schemes/ag
Afforestation Schemes Providing Incentives And Employment To Tribals In Forest,https://www.myscheme.gov.in/schemes/aspie
Agnipath Yojana,https://www.myscheme.gov.in/schemes/ay
Agri-Clinics And Agri-Business Centres Scheme,https://www.myscheme.gov.in/schemes/acandabc
Akhil Bharatiya Samanvit Anusandhan Pariyojana - Veer Chandra Singh Garhwali Uttarakhand University of Horticulture and Forestry,https://www.myscheme.gov.in/schemes/absap
