scheme_name,scheme_url
"""Infrastructure Development Subsidy (For IT/ITES)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",https://www.myscheme.gov.in/schemes/ids-mesifa-cii
"""Infrastructure Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/infs-mesifai
Agricultural Marketing Infrastructure,https://www.myscheme.gov.in/schemes/ami
AICTE - Grant For Augmenting Infrastructure In North Eastern Region,https://www.myscheme.gov.in/schemes/a-gainer
Amma Two Wheeler Scheme for Working Women,https://www.myscheme.gov.in/schemes/atwsfww
Annual Tour to the Differently Abled Persons,https://www.myscheme.gov.in/schemes/atdap
Asangathit Karmakar Samachar-Patr Hawker Cycle Sahayata Yojana,https://www.myscheme.gov.in/schemes/aksphssy
Atal Mission For Rejuvenation And Urban Transformation,https://www.myscheme.gov.in/schemes/amrut
Auto Rickshaw Regulation Scheme,https://www.myscheme.gov.in/schemes/arrs
Bihar State Madarsa Strengthening Scheme,https://www.myscheme.gov.in/schemes/bsmssy
Chief Ministers Green Taxi Scheme,https://www.myscheme.gov.in/schemes/cmgta
Concession in Railway Travel,https://www.myscheme.gov.in/schemes/iocfortc
Cycle Anudaan Yojana,https://www.myscheme.gov.in/schemes/say
Development Of Playfield Under CMSGUY,https://www.myscheme.gov.in/schemes/dp-cmsguy
District Central Cooperative Banks and through its Branches: Small Road Transport Operators Loan (SRTO Loan),https://www.myscheme.gov.in/schemes/dccbsrto
District Innovation And Challenge Fund,https://www.myscheme.gov.in/schemes/dicf
Dr. B. R. Ambedkar’s Electric Auto (e-Auto) Subsidy Scheme,https://www.myscheme.gov.in/schemes/dbraeass
Dr. B.R. Ambedkar’s Yatra Scheme to visit the places connected with Dr. B.R. Ambedkar’s life in India,https://www.myscheme.gov.in/schemes/dbrasvpcdbrali
E-YUVA Scheme: E-YUVA Centers,https://www.myscheme.gov.in/schemes/e-yuvase-yuvac
ECCE (Early Childhood Care and Education),https://www.myscheme.gov.in/schemes/ecceuk
Establishment of Cow Shelters,https://www.myscheme.gov.in/schemes/gksu
Fair Recreational Activity and Non-Competitive Involvement in Sports Urban Connect Scheme (F.R.A.N.C.I.S Urban Connect Scheme),https://www.myscheme.gov.in/schemes/francis
Financial Assistance for Purchase of Battery Operated Vehicles,https://www.myscheme.gov.in/schemes/fapbov
Financial Assistance For Renovation And Special Repair Works To Hindu Religious Institutions Situated In Economically Weaker Section Areas / Adi-Dravidar Colonies,https://www.myscheme.gov.in/schemes/farsrwhrisewsaadc
Financial Assistance To Institutions/Societies Belonging To Scheduled Castes/Backward Classes,https://www.myscheme.gov.in/schemes/faisbscbc
Free Bus Pass for Media Persons,https://www.myscheme.gov.in/schemes/fbpmp
Free Training for Vehicle Drivers,https://www.myscheme.gov.in/schemes/ftvd
Go-Green Shramik Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/ggssgbocwwb
Gramodhyog Vikas Kendra,https://www.myscheme.gov.in/schemes/gvk
Grant for Incubation Centers within Educational Institutes Scheme,https://www.myscheme.gov.in/schemes/giceis
Grant In Aid Hostels,https://www.myscheme.gov.in/schemes/giah
Grant of Fuel Subsidy to Differently Abled Persons Who Are Owning Motorised Vehicles,https://www.myscheme.gov.in/schemes/gfsdapomv
Grant of Subsidy for Purchase of 'Electric Vehicles' to Consumers in State of Goa,https://www.myscheme.gov.in/schemes/gspevcsg
Grant of Subsidy for Purchase of Mobile Sea Food Van,https://www.myscheme.gov.in/schemes/gspmsfv
Grant of Subsidy For Setting up of Ice-Plant /Cold Storage/Fish Processing Unit,https://www.myscheme.gov.in/schemes/gsis-icfsfpu
Grant of Transport Allowance to Differently Abled Persons,https://www.myscheme.gov.in/schemes/gtadap
Grant-in-aid Scheme to Village Education Committees/Urban Education Committees for minor repairs of Government School buildings,https://www.myscheme.gov.in/schemes/gsvec
GROUP WORKSHED SCHEME,https://www.myscheme.gov.in/schemes/gws
GST Exemption Certificate Scheme,https://www.myscheme.gov.in/schemes/gstecs
Gujarat State Electric Vehicle Policy,https://www.myscheme.gov.in/schemes/gsevp
HRIDAY: Heritage City Development & Augmentation Yojana,https://www.myscheme.gov.in/schemes/hriday
Incentive Scheme for Establishment of New Super Specialty Hospital in Private Sector,https://www.myscheme.gov.in/schemes/isensshps
"Information, Monitoring, Evaluation and Social Audit (I-MESA): Central Smart Surveillance Unit (CSSU)",https://www.myscheme.gov.in/schemes/i-mesa-cssu
Infrastructure and Technology Support,https://www.myscheme.gov.in/schemes/iats
Intensive Fisheries Development Programme - Subsidy on Commercial Four-Wheeler Vehicles,https://www.myscheme.gov.in/schemes/socfwv
Issue of Free Bus Pass to Differently Abled Person,https://www.myscheme.gov.in/schemes/ifbpdap
Jharkhand Petrol Subsidy Scheme,https://www.myscheme.gov.in/schemes/jpss
Mhaji Bus Scheme,https://www.myscheme.gov.in/schemes/mbs-goa
Motor Vehicle Driver-Conductor Welfare Scheme- Chief Minister Self-Employment Scheme for Drivers/Conductors,https://www.myscheme.gov.in/schemes/mvdcws-cmsesdc
Motor Vehicle Driver-Conductor Welfare Scheme- Gratuity Assistance in case of Death,https://www.myscheme.gov.in/schemes/mvdcws-gad
Motor Vehicle Driver-Conductor Welfare Scheme- Marriage Assistance,https://www.myscheme.gov.in/schemes/mvdcws-ma
Motor Vehicle Driver-Conductor Welfare Scheme- Maternity Assistance,https://www.myscheme.gov.in/schemes/mvdcws-m
Motor Vehicle Driver-Conductor Welfare Scheme- Medical Assistance,https://www.myscheme.gov.in/schemes/mvdcws-mda
Motor Vehicle Driver-Conductor Welfare Scheme- Pradhanmantri Suraksha Bima Yojana,https://www.myscheme.gov.in/schemes/mvdcws-pmsby
Motor Vehicle Driver-Conductor Welfare Scheme- Sarathi Shri Award,https://www.myscheme.gov.in/schemes/mvdcws-ssa
Motor Vehicle Driver-Conductor Welfare Scheme- Scholarship,https://www.myscheme.gov.in/schemes/mvdcws-s
Motor Vehicle Driver-Conductor Welfare Scheme- Training and Rehabilitation in Case of Permanent Disability due to Accident,https://www.myscheme.gov.in/schemes/mvdcws-trpda
Mukhyamantri Asangathit Karmakar Cycle Sahayata Yojana,https://www.myscheme.gov.in/schemes/makssy
Mukhyamantri Prakhand Parivahan Yojana,https://www.myscheme.gov.in/schemes/mmppy
