scheme_name,scheme_url
100% Penalty Mafi Yojana,https://www.myscheme.gov.in/schemes/1pmy
Aawasiy Suvidha 1 – Indralok Aawasiy Yojana (Group Housing),https://www.myscheme.gov.in/schemes/aaiay
Abua Awas Yojana,https://www.myscheme.gov.in/schemes/aay
Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides,https://www.myscheme.gov.in/schemes/adthsg
Advance for Purchase or Construction of House (GBOCWWB),https://www.myscheme.gov.in/schemes/apch-gbocwwb
"Affordable Housing Component in Partnership of Pradhan Mantri Awas Yojana (Urban) under Uttarakhand Housing Policy Rules, 2024",https://www.myscheme.gov.in/schemes/ahcppmay
Akanksha Housing Scheme,https://www.myscheme.gov.in/schemes/ahs
Antyodaya Gruha Yojana: Construction of New House,https://www.myscheme.gov.in/schemes/agy
Antyodaya Gruha Yojana: Incentive to Beneficiaries,https://www.myscheme.gov.in/schemes/agy-itb
Ashram Schools (Scheduled Tribes),https://www.myscheme.gov.in/schemes/asst
Assistance for Completely Damaged/Destroyed Houses,https://www.myscheme.gov.in/schemes/bhavanuk
Assistance for Purchase of House (HBOCWWB),https://www.myscheme.gov.in/schemes/aphhbocwwb
Atal Asra Yojana,https://www.myscheme.gov.in/schemes/aay-goa
Atal Awas Yojana - Uttarakhand,https://www.myscheme.gov.in/schemes/aayu
Atithi Uttarakhand Home-Stay Registration,https://www.myscheme.gov.in/schemes/copy-of-ddugavy
AVYAY - National Action Plan for Senior Citizens: Health and Shelter for Senior Citizens,https://www.myscheme.gov.in/schemes/avyay-napsc-hssc
Awas Sahayta Yojana for 100% Hearing and Visually Impaired Disabled Students in Special Trades of Industrial Training Institutes,https://www.myscheme.gov.in/schemes/asyf1hvidsstiti
Bal Ashrams,https://www.myscheme.gov.in/schemes/ba
Banglar Awaas Yojana (BAY),https://www.myscheme.gov.in/schemes/bay
Birsa Awas Nirman Yojana,https://www.myscheme.gov.in/schemes/bany
Boarding House Stipend Scheme (Tripura Govt.),https://www.myscheme.gov.in/schemes/bhsstg
Central Assistance For One Time Settlement Of Displaced Families From PoK And Chhamb Under Prime Minister's Development Package,https://www.myscheme.gov.in/schemes/otsdfpc
Chief Minister Housing Assistance Programme,https://www.myscheme.gov.in/schemes/cmhap
Chief Minister's Adarsh Gram Yoiana 2017,https://www.myscheme.gov.in/schemes/cmagy
Chief Minister's Building and Other Construction Workers Housing (Rural) Scheme,https://www.myscheme.gov.in/schemes/cmbocwhrs
Chief Minister's Building and Other Construction Workers Urban Housing Scheme (MPBOCWWB),https://www.myscheme.gov.in/schemes/cmbaocwump
Chief Ministers House Rent,https://www.myscheme.gov.in/schemes/cmhr
Compensation for Loss of Life and Property Caused by Wild Animals in and around Forest Areas: Assistance for Damage to Houses Due to Wild Elephant Attacks,https://www.myscheme.gov.in/schemes/cllpwaafa-dhmhwehwe
Construction of Free Houses for Tribals,https://www.myscheme.gov.in/schemes/cofhft
Construction of Hostels for OBC Boys and Girls,https://www.myscheme.gov.in/schemes/chobcbg
Construction Workers Night Shelter Scheme (MPBOCWWB),https://www.myscheme.gov.in/schemes/cwnss
Credit Linked Subsidy Scheme for Middle Income Group,https://www.myscheme.gov.in/schemes/clssmig
Deen Dayal Antyodaya Yojana - National Urban Livelihoods Mission (DAY-NULM): Support for Urban Homeless – Uttarakhand,https://www.myscheme.gov.in/schemes/daynulmsuh
Deen Dayal Disabled Rehabilitation Scheme,https://www.myscheme.gov.in/schemes/dddrs
Deen Dayal Upadhyaya Grah Aawas (Home-Stay) Vikas Yojana,https://www.myscheme.gov.in/schemes/ddugavyuk
Distribution of Free House Sites to Scheduled Caste/Other Economically Backward Classes,https://www.myscheme.gov.in/schemes/dfhsscoebc
Dr. Ambedkar Awas Yojana,https://www.myscheme.gov.in/schemes/daay
