scheme_name,scheme_url
Additional Subsidy to Establish Tourism Projects in Distant and New Ulterior Areas,https://www.myscheme.gov.in/schemes/asetpdnua
AICTE-INAE Travel Grant Scheme For Engineering Students From AICTE Approved Engineering College/Institution,https://www.myscheme.gov.in/schemes/ai-tgses
Andaman & Nicobar Bed & Breakfast / Home Stay Establishment Scheme,https://www.myscheme.gov.in/schemes/acbbhses
Annual Tour to the Differently Abled Persons,https://www.myscheme.gov.in/schemes/atdap
Assistance to Pilgrims for Kailash Mansarovar Yatra - Rajasthan,https://www.myscheme.gov.in/schemes/apkmy
Atithi Uttarakhand Home-Stay Registration,https://www.myscheme.gov.in/schemes/copy-of-ddugavy
Baristha Nagarika Tirtha Yatra Yojana,https://www.myscheme.gov.in/schemes/bntyy
Basic Kayaking Course,https://www.myscheme.gov.in/schemes/kayakinguk
Bed & Breakfast/Homestay Scheme- Punjab,https://www.myscheme.gov.in/schemes/bbhs
Capital Investment Subsidy for Creation of Infrastructure,https://www.myscheme.gov.in/schemes/cisci
"Capital Investment Subsidy For Creation of Infrastructure Along With Installation of Equipment To Establish Film Studio, Film Making, Museum, Aquarium, Theme Park",https://www.myscheme.gov.in/schemes/cisciieefsfmmatp
"Capital Investment Subsidy For Creation Of Infrastructure And Installation Of Permanent Facility/ Acquisition Of Equipment/Tents And Facilities To Establish Adventure Tourism, Water Tourism, Water Sports, Cruise/House Boat, Navigation Infrastructure, Amusement Park, Water Park, Sound And Light Show, Laser Show, Camping (Including Tents)",https://www.myscheme.gov.in/schemes/cisciipfaetfeatwtwschbniapwpslscit
Capital Investment Subsidy for Establishment of 500 or More Seater Convention Centre as Above cum Hotel under MICE,https://www.myscheme.gov.in/schemes/cise5msccahm
Capital Investment Subsidy for Establishment of Heritage Hotel where the Heritage Assets are obtained from Tourism Department on Lease,https://www.myscheme.gov.in/schemes/cisehhhatdl
Capital Investment Subsidy for Establishment of New Hotel or Mini Resort of Standard Category,https://www.myscheme.gov.in/schemes/cisenhmrsc
Capital Investment Subsidy for Establishment of New Resort and Wellness Centre,https://www.myscheme.gov.in/schemes/cisenrwc
Capital Investment Subsidy for Establishment of Way Side Amenities Under Green Field or Franchise Model,https://www.myscheme.gov.in/schemes/cisewsagffm
Capital Investment Subsidy For Expansion Of Established Star/Deluxe/Standard Hotel/Resort/Heritage Hotel,https://www.myscheme.gov.in/schemes/ciseesdshrhh
Capital Investment Subsidy to Establish a New Deluxe/Three Star or Higher Category New Hotel and Resort,https://www.myscheme.gov.in/schemes/cisendtshcnhr
"Capital Subsidy for Establishment of Sea Plane, Amphibian Tourist Vehicle and Aero Sports and Aero Sports Training Centre/Academy",https://www.myscheme.gov.in/schemes/csespatvasastca
Capital Subsidy for Heritage Hotel under Proprietorship,https://www.myscheme.gov.in/schemes/cshhp
Capital Subsidy to Existing Hotels for Renovation/Modernization & Upgradation,https://www.myscheme.gov.in/schemes/csehrmu
Chief Minister's Meghalaya Homestay Mission Scheme,https://www.myscheme.gov.in/schemes/cmmhms
Chief Minister’s Paryatan Siksha Yojana,https://www.myscheme.gov.in/schemes/cmpsy
Chief Minister’s Paryatan Vikas Yojana,https://www.myscheme.gov.in/schemes/cmpvy
Concessional Bus Travel Facility to Women above 60 years of age- Punjab,https://www.myscheme.gov.in/schemes/cbtfw60ya-p
Deen Dayal Upadhyaya Grah Aawas (Home-Stay) Vikas Yojana,https://www.myscheme.gov.in/schemes/ddugavyuk
Exposure Visits of Government of Odisha Delegates/Representatives to Singapore and Dubai,https://www.myscheme.gov.in/schemes/evgodrsd
Fare for Visiting Home Town (HBOCWWB),https://www.myscheme.gov.in/schemes/fvhthbocwwb
Financial Assistance to Permanent Residents of Uttarakhand for Religious Pilgrimages,https://www.myscheme.gov.in/schemes/faprurp
Free Passport Scheme,https://www.myscheme.gov.in/schemes/freepassport
Free Travel in S.T Bus to the Disabled Persons,https://www.myscheme.gov.in/schemes/ftstbdp
Free Travel in Uttarakhand Transport Corporation Buses to Widowed Daughters-in-Law of Freedom Fighters,https://www.myscheme.gov.in/schemes/ftutwd
Free Travelling Facility (HBOCWWB),https://www.myscheme.gov.in/schemes/ftfhbocwwb
Grant For Oru Kala Pooja,https://www.myscheme.gov.in/schemes/gokp
"Grant of Financial Incentives for Hotels, Resorts, and Tourism Projects",https://www.myscheme.gov.in/schemes/gfihrtp
Haj Pilgrimage to Saudi Arabia,https://www.myscheme.gov.in/schemes/hpsa
High Altitude Guide Course,https://www.myscheme.gov.in/schemes/highaltitudeuk
Hinglaj Devi Temple and Nankana Sahib Yatra in Pakistan- Madhya Pradesh,https://www.myscheme.gov.in/schemes/hdtnsypmp
Installation of Ropeway Infrastructure for Transport in Inaccessible Tourist Places or Forest Areas,https://www.myscheme.gov.in/schemes/irititpfa
Investment Promotion Assistance To Setup Large/Mega/Ultra-Mega Tourism Projects,https://www.myscheme.gov.in/schemes/ipaslmumtp
Jharkhand Mukhyamantri Gram Gadi Yojana,https://www.myscheme.gov.in/schemes/jmggy
Kailash Darshan Yatra,https://www.myscheme.gov.in/schemes/kdy
Kailash Mansarovar Yatra Scheme 2016,https://www.myscheme.gov.in/schemes/kmys2016
Kailash Mansarovar Yatra- Madhya Pradesh,https://www.myscheme.gov.in/schemes/kmymp
Leave Travel Concession Scheme- Haryana Labour Welfare Board,https://www.myscheme.gov.in/schemes/ltcs-hlwb
Life Saving Technique Water Sports Operator,https://www.myscheme.gov.in/schemes/lifesavinguk
Low Altitude Guide Course,https://www.myscheme.gov.in/schemes/lowaltitudeuk
Marketing Development Assistance Scheme,https://www.myscheme.gov.in/schemes/mdas
Meghalaya Adventure Tourism Scheme,https://www.myscheme.gov.in/schemes/mats
Meghalaya Tourism Development & Investment Promotion,https://www.myscheme.gov.in/schemes/mtdip
Mukhyamantri Asangathit Karmakar Ijjat Monthly Season Ticket Card Yojana,https://www.myscheme.gov.in/schemes/makimstc
Mukhyamantri Tirth Yatra Yojana,https://www.myscheme.gov.in/schemes/mtyy
Mukhyamantri Tirth Yatra Yojana - Delhi,https://www.myscheme.gov.in/schemes/mtyyd
Mumkin - Livelihood Generation Scheme,https://www.myscheme.gov.in/schemes/mlgs
National Youth Award,https://www.myscheme.gov.in/schemes/nya
Observation Home and Special School,https://www.myscheme.gov.in/schemes/ohss
Operation of Paragliding Activities,https://www.myscheme.gov.in/schemes/opa
Operation of River Rafting / Kayaking Activities,https://www.myscheme.gov.in/schemes/orrkauk
"P1, P2, P3, P4, SIV, Guided Flying",https://www.myscheme.gov.in/schemes/p1234uk
Pilgrimage Rejuvenation and Spiritual Augmentation Drive (PRASHAD),https://www.myscheme.gov.in/schemes/prashad
Prime Tourism Vehicle Scheme-Meghalaya,https://www.myscheme.gov.in/schemes/ptvsme
Promotion And Development Of Tea Tourism Infrastructure In Assam,https://www.myscheme.gov.in/schemes/pdtti-assam
Punjab Farm Tourism Scheme,https://www.myscheme.gov.in/schemes/pfts
Rafting Course & Internship,https://www.myscheme.gov.in/schemes/raftinguk
S.P. Nautiyal Museum,https://www.myscheme.gov.in/schemes/spnmuk
"S.T. Bus Pass Fee Concession Scheme For Government/ Non Government Primary, Secondary & Higher Secondary and Higher Technical Education Students",https://www.myscheme.gov.in/schemes/stbpfcsgngpshshtes
Scheme for Hotel and Restaurant Projects,https://www.myscheme.gov.in/schemes/shrp
Scheme for Tourism-related Activities,https://www.myscheme.gov.in/schemes/stra
Scheme of Financial Assistance to IHMs/FCIs/IITTM/ICI/NCHMCT/PSUs,https://www.myscheme.gov.in/schemes/sfaifiinp
Shramik Parivahan Yojana (GBOCWWB),https://www.myscheme.gov.in/schemes/spy-gbocwwb
Shravan Tirthdarshan Yojna,https://www.myscheme.gov.in/schemes/sty
Sindhu Darshan Pilgrimage Scheme - Rajasthan,https://www.myscheme.gov.in/schemes/sdpsr
Sindhu Darshan Scheme,https://www.myscheme.gov.in/schemes/sdd
Sindhu Darshan Scheme in Ladakh,https://www.myscheme.gov.in/schemes/sdsl
Sindhu Dharshan Yatra Scheme 2016,https://www.myscheme.gov.in/schemes/sdys2016
Skiing Course,https://www.myscheme.gov.in/schemes/skiinguk
Special Basic Mountaineering Course,https://www.myscheme.gov.in/schemes/mountaineeringuk
Special Incentives for Wildlife Resorts,https://www.myscheme.gov.in/schemes/sifwr
Sri Lanka's Sita Temple Tour,https://www.myscheme.gov.in/schemes/slstt
Sri Ram Janmabhoomi Shabari Smriti Yatra Sahay Scheme,https://www.myscheme.gov.in/schemes/srjssyss
Swaran Jayanti Guru Darshan Yatra Scheme 2016,https://www.myscheme.gov.in/schemes/sjgdys2016
Tea Tourism - Uttarakhand Tea Development Board,https://www.myscheme.gov.in/schemes/ttuktdb
Tirth Barat Yojana,https://www.myscheme.gov.in/schemes/tby
Tourist Guide Certification Scheme,https://www.myscheme.gov.in/schemes/tgcs
Travel Grants To Goan Authors,https://www.myscheme.gov.in/schemes/tgga
Trekking Traction Centre Home-stay Grant Scheme,https://www.myscheme.gov.in/schemes/ttchsuk
Ude Desh ka Aam Nagrik (UDAN) Yojana - Uttarakhand,https://www.myscheme.gov.in/schemes/udanuk
Uttarakhand Tourism and Travel Business Registration Rules,https://www.myscheme.gov.in/schemes/uttbrr
Uttarakhand Tourism Entrepreneur Promotion Scheme,https://www.myscheme.gov.in/schemes/ukteps
Varanasi and Amritsar Yatra Scheme,https://www.myscheme.gov.in/schemes/svayhr
Veer Chandra Singh Garhwali Paryatan Swarojgar Yojana,https://www.myscheme.gov.in/schemes/vcsgpsyuk
Yatra Anudan,https://www.myscheme.gov.in/schemes/ya
